register,dimension,component,raw_metric,source_repo,artifact,formula,score
FDIC BankFind,D1,Embedded LEI conformance to ISO 17442,"2,252 of 2,252 published LEI values are truncated to 16 of the 20 required characters, discarding both ISO 7064 check digits; length histogram {16: 2252} with no exceptions",fabio-rovai/bank-register-ontology,README.md (finding 1),100 * (1 - 2252/2252),0.0
FDIC BankFind,D2,Unique resolution of published LEI values after best-effort prefix completion,"9 ambiguous values plus 3 values resolving to no LEI at all, of 1,733 active-institution LEI values, resolved against the GLEIF golden copy",fabio-rovai/bank-register-ontology,reports/GOVERNANCE_REPORT.md (section 1),100 * (1 - (9+3)/1733),99.31
FDIC BankFind,D3,Agreement with GLEIF on which legal entity the identifier names,"2 values confirmed against GLEIF consolidation records to resolve to a different legal entity (Associated Bank carries its parent holding company's LEI) plus 1 value resolving to a German entity (CBI Bank & Trust), of 1,733; the 15 additional parent-shaped cases are unconfirmed and excluded",fabio-rovai/bank-register-ontology,README.md (findings 5 and 10); reports/GOVERNANCE_REPORT.md,100 * (1 - 3/1733),99.83
FDIC BankFind,D4,LEI coverage of active institutions,"1,733 of 4,250 active insured institutions carry an LEI value (40.8% of institutions, 92.20% of assets)",fabio-rovai/bank-register-ontology,reports/GOVERNANCE_REPORT.md (section 1),100 * 1733/4250,40.78
FDIC BankFind,D4,Holding-company link coverage (RSSDHCR),"RSSDHCR present on 3,560 of 4,250 active institutions across 3,340 distinct holding companies",fabio-rovai/bank-register-ontology,README.md (identifier fabric section),100 * 3560/4250,83.76
FDIC BankFind,D4,Parent-certificate field coverage (PARCERT),"PARCERT populated on 4 of 4,250 active institutions; ULTCERT equals the institution's own certificate for all 4,245 that carry it",fabio-rovai/bank-register-ontology,README.md (identifier fabric section),100 * 4/4250,0.09
FDIC BankFind,D5,Governance signal checklist (recorded signals only),"Passes 4: US Government public-data licence; active/inactive status distinction (4,250 active vs 27,836 all-time); per-record reporting date; named custodian (FDIC). Fails 1: the LEI is an attribute and the join key in neither BankFind nor the FFIEC CDR, which is exactly why it has been allowed to rot",fabio-rovai/bank-register-ontology,README.md (licence section; 'why this matters now'),100 * 4/(4+1),80.0
SEC series/class register + Form N-CEN,D1,Embedded LEI check-digit conformance in N-CEN filings,"19 of 14,960 LEI values across four N-CEN quarters fail ISO 7064 check digits (0.127%), including 00000000000000238096 filed as an LEI; 2 of the 19 are additionally malformed",fabio-rovai/investment-fund-ontology,README.md (finding 2); reports/GOVERNANCE_REPORT.md (section 3),100 * (1 - 19/14960),99.87
SEC series/class register + Form N-CEN,D2,Published tickers resolving to a unique share class,"163 tickers are quoted for more than one share class, of 30,238 listings in the series/class register",fabio-rovai/investment-fund-ontology,reports/GOVERNANCE_REPORT.md (section 5); reports/findings_detail.json (duplicate_tickers),100 * (1 - 163/30238),99.46
SEC series/class register + Form N-CEN,D3,N-CEN fund reports joining to the current series/class register,"7,255 of 12,217 N-CEN fund reports match the current series/class register (59.4%)",fabio-rovai/investment-fund-ontology,reports/GOVERNANCE_REPORT.md (section 5),100 * 7255/12217,59.38
SEC series/class register + Form N-CEN,D3,Class counts agreeing between register and N-CEN self-report,"2,148 funds have registered share classes exceeding the class count reported on their own N-CEN annual report, of 12,217 N-CEN fund reports",fabio-rovai/investment-fund-ontology,README.md (finding 7); reports/findings_detail.json (r5_class_count_divergence),100 * (1 - 2148/12217),82.42
SEC series/class register + Form N-CEN,D4,LEI coverage of funds,"7,586 of 19,803 funds have no LEI from any source system (38.3%)",fabio-rovai/investment-fund-ontology,reports/GOVERNANCE_REPORT.md (section 5),100 * (1 - 7586/19803),61.69
SEC series/class register + Form N-CEN,D4,"ETF funds whose share classes are listed, as their nature implies","73 findings across 71 of 4,053 ETF funds have a share class with no listing anywhere in public data (the ontology's only Violation-severity rule)",fabio-rovai/investment-fund-ontology,README.md (finding 3); reports/findings_detail.json (r1_etf_unlisted),100 * (1 - 71/4053),98.25
SEC series/class register + Form N-CEN,D5,Governance signal checklist (recorded signals only),"Passes 4: public-domain licence; named custodian (SEC); N-CEN quarters published as pinned dated files that reproduce exactly; declared annual filing cycle. Fails 1: the series/class register is served only as an always-current snapshot with no pinned versions, so builds against it do not reproduce",fabio-rovai/investment-fund-ontology,README.md (data currency section; licence section),100 * 4/(4+1),80.0
EIOPA insurance register,D1,Embedded LEI check-digit conformance,"4 of 3,630 distinct LEI values filed in the register fail ISO 7064 check digits, including an all-zeros value and 5493O00MN7XN3BBKCE67 with a letter O where the real LEI has a zero",fabio-rovai/insurance-register-ontology,"reports/GOVERNANCE_REPORT.md (section 2, R2); reports/findings_detail.json (r2_bad_checksum)",100 * (1 - 4/3630),99.89
EIOPA insurance register,D2,Filed LEI values resolving in GLEIF,"3,626 of 3,630 distinct LEI values resolve via the GLEIF API; the 4 that do not exist in GLEIF are precisely the 4 that fail ISO 7064 arithmetic",fabio-rovai/insurance-register-ontology,README.md (headline bullets),100 * 3626/3630,99.89
EIOPA insurance register,D3,Register names agreeing with GLEIF legal names,"402 of 2,661 active domestic undertakings with a GLEIF-resolvable LEI have a register name that does not match the GLEIF legal name even after aggressive normalization (15.1%)",fabio-rovai/insurance-register-ontology,reports/GOVERNANCE_REPORT.md (section 4),100 * (1 - 402/2661),84.89
EIOPA insurance register,D3,LEI values agreeing with BaFin where both registers populate the field,344 strictly matched German undertakings hold an LEI in both EIOPA and BaFin registers; 0 values disagree,fabio-rovai/insurance-register-ontology,README.md (second opinion table); reports/CROSS_REGISTER_DE.md,100 * (1 - 0/344),100.0
EIOPA insurance register,D4,LEI coverage of active domestic undertakings,"643 of 3,304 active domestic (re)insurance undertakings carry no LEI at all, despite EIOPA's Guidelines on the use of the LEI (19.5%); 492 of the 643 are German",fabio-rovai/insurance-register-ontology,"reports/GOVERNANCE_REPORT.md (section 2, R1)",100 * (1 - 643/3304),80.54
EIOPA insurance register,D4,Filed LEIs current (ISSUED) in GLEIF for active undertakings,"2,500 of 2,661 GLEIF-resolvable LEIs on active domestic undertakings are ISSUED; 118 LAPSED, 42 RETIRED, 1 PENDING_TRANSFER",fabio-rovai/insurance-register-ontology,reports/GOVERNANCE_REPORT.md (section 3),100 * 2500/2661,93.95
EIOPA insurance register,D5,Governance signal checklist (recorded signals only),"Passes 3: EU public register data with attribution (open licence); registration end dates recorded per row; NCA identification codes name the responsible authority. Fails 1: 283 open cross-border operation rows belong to undertakings whose home registration has ended, passports outliving the authorization they derive from (Violation-severity R6)",fabio-rovai/insurance-register-ontology,README.md (licence section); reports/GOVERNANCE_REPORT.md (R6),100 * 3/(3+1),75.0
BaFin insurance register,D1,Embedded LEI check-digit conformance,"5 LEI values in BaFin's own file fail ISO 7064, three of them 19 characters long (truncation, not typing), of 1,074 rows carrying an LEI",fabio-rovai/insurance-register-ontology,README.md (second opinion table); reports/CROSS_REGISTER_DE.md,100 * (1 - 5/1074),99.53
BaFin insurance register,D3,LEI values agreeing with EIOPA where both registers populate the field,"344 strictly matched undertakings hold an LEI in both registers; 0 values disagree. Separately, BaFin holds a valid LEI for 14 undertakings that EIOPA records as having none",fabio-rovai/insurance-register-ontology,README.md (second opinion table); reports/CROSS_REGISTER_DE.md,100 * (1 - 0/344),100.0
BaFin insurance register,D4,LEI coverage of register rows,"1,074 of 5,400 BaFin insurance register rows carry an LEI (19.9%)",fabio-rovai/insurance-register-ontology,README.md (second opinion table); reports/CROSS_REGISTER_DE.md,100 * 1074/5400,19.89
BaFin insurance register,D4,LEI coverage of German-supervised entities,"505 of 4,824 German-supervised entities (excluding EEA inbound service providers) carry an LEI (10.5%)",fabio-rovai/insurance-register-ontology,README.md (second opinion table); reports/CROSS_REGISTER_DE.md,100 * 505/4824,10.47
